p1_encoder, p1_pressed, p1_pressed_nmz, ,p2_encoder, p2_pressed, p2_pressed_nmz, ,p1_degree, p1_pressed, p1_pressed_nmz, ,p2_degree, p2_pressed, p2_pressed_nmz
4187116,21280,0.998357964, ,4201501,21180,0.993899578, ,88.79121,21280,0.998357964, ,91.500729,21180,0.993899578
4187124,21280,0.998357964, ,4201493,21180,0.993899578, ,88.792716,21280,0.998357964, ,91.499223,21180,0.993899578
4187131,21280,0.998357964, ,4201485,21180,0.993899578, ,88.794222,21280,0.998357964, ,91.497717,21180,0.993899578
4187139,21280,0.998357964, ,4201477,21180,0.993899578, ,88.79554,21280,0.998357964, ,91.496211,21180,0.993899578
4187148,21280,0.998357964, ,4201469,21180,0.993899578, ,88.797046,21280,0.998357964, ,91.494517,21180,0.993899578
4187156,21280,0.998357964, ,4201461,21180,0.993899578, ,88.798551,21280,0.998357964, ,91.493011,21180,0.993899578
4187163,21280,0.998357964, ,4201452,21180,0.993899578, ,88.800057,21280,0.998357964, ,91.491505,21180,0.993899578
4187172,21280,0.998357964, ,4201444,21180,0.993899578, ,88.801563,21280,0.998357964, ,91.49,21180,0.993899578
4187180,21275,0.998123387, ,4201436,21180,0.993899578, ,88.803257,21275,0.998123387, ,91.488494,21180,0.993899578
4187189,21275,0.998123387, ,4201428,21180,0.993899578, ,88.804763,21275,0.998123387, ,91.486988,21180,0.993899578
4187197,21275,0.998123387, ,4201420,21180,0.993899578, ,88.806269,21275,0.998123387, ,91.485482,21180,0.993899578
4187205,21275,0.998123387, ,4201412,21180,0.993899578, ,88.807774,21275,0.998123387, ,91.483788,21180,0.993899578
4187213,21275,0.998123387, ,4201404,21180,0.993899578, ,88.80928,21275,0.998123387, ,91.482282,21180,0.993899578
4187220,21275,0.998123387, ,4201396,21180,0.993899578, ,88.810974,21275,0.998123387, ,91.480777,21180,0.993899578
4187229,21275,0.998123387, ,4201388,21180,0.993899578, ,88.81248,21275,0.998123387, ,91.479271,21180,0.993899578
4187237,21275,0.998123387, ,4201380,21180,0.993899578, ,88.813986,21275,0.998123387, ,91.477765,21180,0.993899578
4187245,21275,0.998123387, ,4201372,21180,0.993899578, ,88.815492,21275,0.998123387, ,91.476259,21180,0.993899578
4187254,21275,0.998123387, ,4201363,21180,0.993899578, ,88.816998,21275,0.998123387, ,91.474753,21180,0.993899578
4187262,21275,0.998123387, ,4201355,21180,0.993899578, ,88.818503,21275,0.998123387, ,91.473248,21180,0.993899578
